date,close,open,high,low
01.11.2016,"220,38","212,93","221,82","208,38"
01.10.2016,"212,55","215,82","216,70","211,21"
01.09.2016,"216,30","217,37","219,22","212,31"
01.08.2016,"217,38","217,19","219,60","214,25"
01.07.2016,"217,12","209,36","217,54","207,06"
01.06.2016,"209,47","209,12","212,52","198,65"
01.05.2016,"209,84","206,92","210,69","202,78"
01.04.2016,"206,33","204,35","210,92","203,09"
01.03.2016,"205,52","195,01","206,87","194,45"
01.02.2016,"193,56","192,53","196,68","181,09"
01.01.2016,"193,72","200,49","201,90","181,02"
01.12.2015,"203,87","209,44","211,00","199,83"
01.11.2015,"208,69","208,32","211,66","202,18"
01.10.2015,"207,93","192,08","209,44","189,12"
01.09.2015,"191,63","193,12","202,89","186,93"
01.08.2015,"197,67","210,46","211,31","182,40"
01.07.2015,"210,50","207,73","213,18","204,11"
01.06.2015,"205,85","211,94","213,34","205,28"
01.05.2015,"211,14","209,40","213,78","206,76"
01.04.2015,"208,46","206,39","212,48","204,51"
01.03.2015,"206,43","210,78","212,06","204,12"
01.02.2015,"210,66","200,05","212,24","197,86"
01.01.2015,"199,45","206,38","206,88","198,55"
01.12.2014,"205,54","206,40","212,97","197,86"
01.11.2014,"207,20","201,92","207,87","200,06"
01.10.2014,"201,66","196,70","201,82","181,92"
01.09.2014,"197,02","200,97","201,90","196,05"
01.08.2014,"200,71","192,56","200,82","190,55"
01.07.2014,"193,09","196,20","199,06","192,97"
01.06.2014,"195,72","192,95","196,60","191,97"
01.05.2014,"192,68","188,22","192,80","186,01"
01.04.2014,"188,31","187,62","189,70","181,31"
01.03.2014,"187,01","184,65","189,02","183,75"
01.02.2014,"186,29","177,97","187,15","173,71"
01.01.2014,"178,18","183,98","184,94","176,88"
01.12.2013,"184,69","181,09","184,69","177,32"
01.11.2013,"181,00","176,02","181,75","174,76"
01.10.2013,"175,79","168,14","177,51","164,53"
01.09.2013,"168,01","165,23","173,60","163,70"
01.08.2013,"163,65","169,99","170,97","163,05"
01.07.2013,"168,71","161,26","169,86","160,22"
01.06.2013,"160,42","163,83","165,99","155,73"
01.05.2013,"163,44","159,33","169,07","158,10"
01.04.2013,"159,68","156,59","159,72","153,55"
01.03.2013,"156,67","151,09","156,85","150,41"
01.02.2013,"151,61","150,65","153,28","148,73"
01.01.2013,"149,70","145,11","150,94","144,73"
